time,readable_time,acceleration,acceleration_x,acceleration_y,acceleration_z,battery,humidity,pressure,temperature,dev-id
1523318660493,2018-04-10T00:04:20.493000Z,1016.0472429961119,-76,324,960,3007,20,1011.96,29.08,C2:9A:9F:E5:58:27
1523318665586,2018-04-10T00:04:25.585999Z,1026.138392225922,-76,320,972,3013,20,1011.98,29.08,C2:9A:9F:E5:58:27
1523318670593,2018-04-10T00:04:30.592999Z,1013.5561158613765,-76,328,956,3001,20,1011.98,29.08,C2:9A:9F:E5:58:27
1523318675638,2018-04-10T00:04:35.638000Z,1007.0312805469351,-72,332,948,3001,20,1011.98,29.08,C2:9A:9F:E5:58:27
1523318680703,2018-04-10T00:04:40.703000Z,1016.3542689436592,-80,324,960,2995,20,1012.02,29.07,C2:9A:9F:E5:58:27
1523318685743,2018-04-10T00:04:45.743000Z,1008.8012688334605,-80,324,952,3001,20,1012,29.07,C2:9A:9F:E5:58:27
1523318691313,2018-04-10T00:04:51.312999Z,1015.0862032359616,-80,320,960,2995,20,1011.97,29.07,C2:9A:9F:E5:58:27
1523318697613,2018-04-10T00:04:57.612999Z,1019.8274363832344,-76,324,964,3001,20,1011.95,29.06,C2:9A:9F:E5:58:27
1523318703413,2018-04-10T00:05:03.413000Z,1016.0472429961119,-76,324,960,3007,20,1011.99,29.07,C2:9A:9F:E5:58:27
1523318708613,2018-04-10T00:05:08.612999Z,1019.5371498871436,-72,324,964,3007,20,1011.94,29.07,C2:9A:9F:E5:58:27
1523318713623,2018-04-10T00:05:13.622999Z,1019.8274363832344,-76,324,964,2995,20,1012.01,29.06,C2:9A:9F:E5:58:27
1523318718603,2018-04-10T00:05:18.602999Z,1017.6364773336302,-80,328,960,3001,20,1011.99,29.07,C2:9A:9F:E5:58:27
1523318723583,2018-04-10T00:05:23.582999Z,1017.6364773336302,-80,328,960,3001,20,1012.02,29.07,C2:9A:9F:E5:58:27
1523318728663,2018-04-10T00:05:28.663000Z,1007.2139792516782,-76,320,952,3007,20,1011.99,29.07,C2:9A:9F:E5:58:27
